species,longitude,latitude
Urocitellus_columbianus,-114.034902028881,46.8719946245951
Urocitellus_columbianus,-113.865392,49.088061
Urocitellus_columbianus,-116.646369461172,46.5994742960576
Urocitellus_columbianus,-113.375893,45.631622
Urocitellus_columbianus,-118.078071908885,44.5191750327173
Urocitellus_columbianus,-117.969580037082,45.1729709505718
Urocitellus_columbianus,-118.170015898577,48.4286467999677
Urocitellus_columbianus,-114.475776321841,50.2095111873942
Urocitellus_columbianus,-118.671913727833,46.0397595132624
Urocitellus_columbianus,-117.81079233,46.1207315692742
Urocitellus_columbianus,-117.199662107739,45.313476496729
Urocitellus_columbianus,-120.835632190045,49.058031925696
Urocitellus_columbianus,-114.984129389028,50.597008303442
Urocitellus_columbianus,-118.819467445252,48.5583248559751
Urocitellus_columbianus,-117.1622,48.503699999064
Urocitellus_columbianus,-113.993964,45.40603
